traj_id,t,step,x,y,theta,v,omega
0,0.0000,0,1.696993,0.401910,-0.338900,0.411703,1.064625
0,0.1000,1,1.736476,0.390314,-0.232438,0.479010,1.036773
0,0.2000,2,1.783577,0.381714,-0.128760,0.462658,0.975842
0,0.3000,3,1.829676,0.378019,-0.031176,0.458507,0.549491
0,0.4000,4,1.875521,0.377850,0.023773,0.500000,0.514985
0,0.5000,5,1.925454,0.380325,0.075271,0.500000,0.416410
0,0.6000,6,1.975220,0.385121,0.116912,0.484005,0.250997
0,0.7000,7,2.023214,0.391370,0.142012,0.476501,0.077011
0,0.8000,8,2.070358,0.398295,0.149713,0.500000,0.214971
0,0.9000,9,2.119715,0.406284,0.171210,0.500000,-0.006074
0,1.0000,10,2.168986,0.414788,0.170603,0.500000,0.003575
0,1.1000,11,2.218259,0.423285,0.170960,0.500000,-0.050535
0,1.2000,12,2.267551,0.431667,0.165907,0.485248,-0.007378
0,1.3000,13,2.315413,0.439663,0.165169,0.500000,-0.050568
0,1.4000,14,2.364753,0.447760,0.160112,0.487972,-0.223247
0,1.5000,15,2.413009,0.455001,0.137787,0.471816,-0.011617
0,1.6000,16,2.459747,0.461454,0.136626,0.500000,-0.098151
0,1.7000,17,2.509314,0.468021,0.126811,0.478269,0.009186
0,1.8000,18,2.556754,0.474092,0.127729,0.474003,-0.169941
0,1.9000,19,2.603817,0.479730,0.110735,0.500000,-0.082971
0,2.0000,20,2.653533,0.485049,0.102438,0.499276,0.402151
0,2.1000,21,2.703083,0.491152,0.142653,0.484744,0.654703
0,2.2000,22,2.750805,0.499609,0.208124,0.480081,0.846509
0,2.3000,23,2.797302,0.511503,0.292774,0.449078,1.093263
0,2.4000,24,2.839505,0.526786,0.402101,0.457363,1.291464
0,2.5000,25,2.880322,0.547350,0.531247,0.449241,1.456800
0,2.6000,26,2.917263,0.572845,0.676927,0.436835,1.441771
0,2.7000,27,2.949227,0.602564,0.821104,0.394161,1.395235
0,2.8000,28,2.973990,0.633189,0.960628,0.418446,1.158464
0,2.9000,29,2.995929,0.668794,1.076474,0.449073,1.138733
0,3.0000,30,3.014940,0.709452,1.190347,0.432334,0.989176
0,3.1000,31,3.028985,0.750322,1.289265,0.468184,1.006109
0,3.2000,32,3.039710,0.795875,1.389876,0.500000,0.809251
0,3.3000,33,3.046708,0.845369,1.470801,0.500000,0.810254
0,3.4000,34,3.049679,0.895267,1.551827,0.500000,0.257374
0,3.5000,35,3.049984,0.945265,1.577564,0.500000,0.466632
0,3.6000,36,3.048480,0.995238,1.624227,0.500000,0.340255
0,3.7000,37,3.044960,1.045111,1.658253,0.500000,0.219091
0,3.8000,38,3.040048,1.094868,1.680162,0.492507,-0.101436
0,3.9000,39,3.034921,1.143851,1.670018,0.497640,-0.012972
0,4.0000,40,3.030023,1.193373,1.668721,0.500000,-0.002303
0,4.1000,41,3.025141,1.243134,1.668491,0.500000,-0.101655
0,4.2000,42,3.020517,1.292920,1.658325,0.489744,-0.034076
0,4.3000,43,3.016319,1.341714,1.654918,0.470135,-0.032774
0,4.4000,44,3.012445,1.388568,1.651640,0.497549,-0.209326
0,4.5000,45,3.008946,1.438199,1.630708,0.451841,-0.018425
0,4.6000,46,3.006283,1.483304,1.628865,0.493725,-0.142865
0,4.7000,47,3.003769,1.532612,1.614578,0.495044,0.105329
0,4.8000,48,3.001342,1.582057,1.625111,0.498389,-0.115337
0,4.9000,49,2.998924,1.631837,1.613578,0.470174,0.118886
0,5.0000,50,2.996634,1.678798,1.625466,0.500000,0.226853
0,5.1000,51,2.993335,1.728688,1.648152,0.498320,0.348384
0,5.2000,52,2.988620,1.778294,1.682990,0.500000,0.414728
0,5.3000,53,2.981993,1.827849,1.724463,0.489973,0.270912
0,5.4000,54,2.973839,1.876162,1.751554,0.500000,0.308835
0,5.5000,55,2.964092,1.925201,1.782438,0.482484,0.544600
0,5.6000,56,2.952678,1.972073,1.836898,0.467292,0.606691
0,5.7000,57,2.939030,2.016757,1.897567,0.486770,0.437250
0,5.8000,58,2.922402,2.062502,1.941292,0.500000,0.391287
0,5.9000,59,2.903391,2.108744,1.980420,0.500000,0.427445
0,6.0000,60,2.882504,2.154168,2.023165,0.486454,0.124361
0,6.1000,61,2.860970,2.197787,2.035601,0.470067,0.416198
0,6.2000,62,2.839031,2.239356,2.077221,0.497221,0.181946
0,6.3000,63,2.814519,2.282615,2.095415,0.500000,0.032890
0,6.4000,64,2.789403,2.325850,2.098704,0.487448,0.097590
0,6.5000,65,2.764644,2.367838,2.108463,0.500000,0.042645
0,6.6000,66,2.738946,2.410729,2.112728,0.487447,-0.076110
0,6.7000,67,2.713963,2.452584,2.105117,0.500000,0.170454
0,6.8000,68,2.688135,2.495396,2.122162,0.490432,0.048310
0,6.9000,69,2.662343,2.537109,2.126993,0.474147,-0.047311
0,7.0000,70,2.637405,2.577436,2.122262,0.500000,-0.114358
0,7.1000,71,2.611452,2.620173,2.110826,0.500000,-0.391172
0,7.2000,72,2.586589,2.663549,2.071709,0.500000,-0.441268
0,7.3000,73,2.563553,2.707922,2.027582,0.500000,-0.503414
0,7.4000,74,2.542639,2.753332,1.977241,0.476805,-0.634923
0,7.5000,75,2.525191,2.797697,1.913749,0.500000,-0.538463
0,7.6000,76,2.509653,2.845215,1.859902,0.449078,-0.580272
0,7.7000,77,2.498106,2.888606,1.801875,0.500000,-0.505741
0,7.8000,78,2.487890,2.937546,1.751301,0.500000,-0.298919
0,7.9000,79,2.479650,2.986860,1.721409,0.491276,-0.424305
0,8.0000,80,2.473311,3.035573,1.678979,0.476135,-0.377170
0,8.1000,81,2.469064,3.082994,1.641262,0.468409,-0.110304
0,8.2000,82,2.466024,3.129736,1.630231,0.500000,-0.336075
0,8.3000,83,2.463893,3.179688,1.596624,0.475724,-0.303549
0,8.4000,84,2.463386,3.227256,1.566269,0.480668,-0.347655
0,8.5000,85,2.464439,3.275309,1.531503,0.477050,0.180814
0,8.6000,86,2.465882,3.322992,1.549585,0.493018,0.126753
0,8.7000,87,2.466616,3.372288,1.562260,0.490164,0.213658
0,8.8000,88,2.466510,3.421303,1.583626,0.500000,-0.034410
0,8.9000,89,2.465955,3.471300,1.580185,0.500000,-0.004759
0,9.0000,90,2.465497,3.521298,1.579709,0.475494,0.065361
0,9.1000,91,2.464918,3.568844,1.586245,0.499149,0.149801
