traj_id,t,step,x,y,theta,v,omega
0,0.0000,0,1.603326,3.428404,0.505795,0.115681,-2.000000
0,0.1000,1,1.613936,3.432963,0.305795,0.213609,-2.000000
0,0.2000,2,1.634812,3.437321,0.105795,0.241621,-2.000000
0,0.3000,3,1.658933,3.437461,-0.094205,0.263683,-2.000000
0,0.4000,4,1.684763,3.432380,-0.294205,0.343604,-1.940638
0,0.5000,5,1.716477,3.419298,-0.488269,0.405159,-1.532076
0,0.6000,6,1.750666,3.397631,-0.641476,0.454502,-1.306646
0,0.7000,7,1.785203,3.368136,-0.772141,0.493772,-0.863544
0,0.8000,8,1.819047,3.332203,-0.858495,0.496075,-0.607139
0,0.9000,9,1.850310,3.293697,-0.919209,0.500000,-0.461628
0,1.0000,10,1.879705,3.253255,-0.965372,0.495657,-0.525648
0,1.1000,11,1.906829,3.211776,-1.017937,0.495979,-0.258662
0,1.2000,12,1.932325,3.169235,-1.043803,0.471510,-0.003713
0,1.3000,13,1.956032,3.128477,-1.044174,0.488461,-0.038142
0,1.4000,14,1.980502,3.086202,-1.047988,0.478002,0.195554
0,1.5000,15,2.004773,3.045023,-1.028433,0.500000,0.342135
0,1.6000,16,2.031308,3.002649,-0.994219,0.498052,0.308545
0,1.7000,17,2.059100,2.961321,-0.963365,0.500000,0.308338
0,1.8000,18,2.088266,2.920711,-0.932531,0.451548,0.292189
0,1.9000,19,2.115695,2.884844,-0.903312,0.500000,0.176029
0,2.0000,20,2.146990,2.845850,-0.885709,0.500000,0.157617
0,2.1000,21,2.178931,2.807382,-0.869948,0.500000,0.066699
0,2.2000,22,2.211301,2.769275,-0.863278,0.461536,0.092942
0,2.3000,23,2.241461,2.734340,-0.853984,0.483574,0.201772
0,2.4000,24,2.273597,2.698206,-0.833806,0.494120,0.059387
0,2.5000,25,2.306914,2.661715,-0.827868,0.482948,-0.012347
0,2.6000,26,2.339561,2.626126,-0.829102,0.499695,-0.105352
0,2.7000,27,2.373122,2.589106,-0.839638,0.500000,0.063005
0,2.8000,28,2.406626,2.551991,-0.833337,0.476264,-0.216747
0,2.9000,29,2.438266,2.516395,-0.855012,0.500000,-0.061224
0,3.0000,30,2.470960,2.478565,-0.861134,0.488756,-0.150488
0,3.1000,31,2.502527,2.441251,-0.876183,0.500000,-0.277533
0,3.2000,32,2.533994,2.402397,-0.903936,0.495928,-0.529996
0,3.3000,33,2.563621,2.362634,-0.956936,0.500000,-0.319127
0,3.4000,34,2.591766,2.321310,-0.988849,0.500000,-0.471502
0,3.5000,35,2.618254,2.278908,-1.035999,0.500000,-0.449722
0,3.6000,36,2.642761,2.235331,-1.080971,0.500000,-0.498238
0,3.7000,37,2.665176,2.190642,-1.130795,0.462561,-0.343825
0,3.8000,38,2.684155,2.148462,-1.165177,0.454095,-0.448929
0,3.9000,39,2.701131,2.106349,-1.210070,0.490768,-0.463108
0,4.0000,40,2.717383,2.060046,-1.256381,0.500000,-0.294901
0,4.1000,41,2.732143,2.012276,-1.285871,0.489360,-0.166197
0,4.2000,42,2.745508,1.965201,-1.302491,0.489124,-0.044461
0,4.3000,43,2.758369,1.918010,-1.306937,0.500000,-0.254380
0,4.4000,44,2.770794,1.869579,-1.332375,0.460649,-0.238648
0,4.5000,45,2.781138,1.824692,-1.356240,0.500000,-0.067464
0,4.6000,46,2.791619,1.775803,-1.362986,0.494318,0.142277
0,4.7000,47,2.802162,1.727509,-1.348758,0.474296,-0.094401
0,4.8000,48,2.812388,1.681195,-1.358199,0.490545,0.067034
0,4.9000,49,2.822899,1.633280,-1.351495,0.486723,-0.048626
0,5.0000,50,2.833372,1.585748,-1.356358,0.467815,0.118310
0,5.1000,51,2.843597,1.540098,-1.344527,0.500000,-0.013481
0,5.2000,52,2.854782,1.491365,-1.345875,0.500000,-0.075465
0,5.3000,53,2.865749,1.442583,-1.353421,0.490255,0.225646
0,5.4000,54,2.876861,1.394834,-1.330857,0.500000,0.280844
1,0.0000,0,2.639763,1.497928,0.030417,0.500000,0.858868
1,0.1000,1,2.689613,1.501592,0.116303,0.473523,0.593609
1,0.2000,2,2.736455,1.508479,0.175664,0.476122,0.708433
1,0.3000,3,2.783001,1.518453,0.246508,0.500000,0.663408
1,0.4000,4,2.831049,1.532253,0.312848,0.460375,0.678872
1,0.5000,5,2.874338,1.547897,0.380736,0.488285,0.221086
1,0.6000,6,2.919465,1.566541,0.402844,0.500000,0.234557
1,0.7000,7,2.965229,1.586681,0.426300,0.491668,0.178757
1,0.8000,8,3.009811,1.607411,0.444176,0.500000,0.177004
1,0.9000,9,3.054767,1.629295,0.461876,0.472492,0.190305
1,1.0000,10,3.096862,1.650751,0.480906,0.500000,-0.146327
1,1.1000,11,3.141359,1.673555,0.466274,0.483004,-0.221727
1,1.2000,12,3.184740,1.694789,0.444101,0.500000,-0.177641
1,1.3000,13,3.230078,1.715870,0.426337,0.484277,-0.021977
1,1.4000,14,3.274193,1.735848,0.424139,0.500000,-0.166295
