x,y,theta,v,omega
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.115189999999999931e-01,2.008900000000000130e-01
1.115099999999999945e-02,1.119999999999999983e-04,2.008899999999999922e-02,1.134789999999999965e-01,1.995359999999999912e-01
2.249400000000000011e-02,4.530000000000000064e-04,4.004300000000000220e-02,1.155570000000000069e-01,1.980959999999999943e-01
3.403500000000000275e-02,1.030000000000000100e-03,5.985200000000000242e-02,1.178140000000000021e-01,1.965189999999999992e-01
4.578700000000000131e-02,1.850000000000000082e-03,7.950400000000000522e-02,1.202750000000000069e-01,1.947790000000000077e-01
5.776699999999999890e-02,2.922000000000000118e-03,9.898200000000000054e-02,1.229390000000000066e-01,1.928650000000000087e-01
6.998799999999999466e-02,4.255000000000000102e-03,1.182689999999999991e-01,1.257919999999999872e-01,1.907770000000000021e-01
8.246499999999999664e-02,5.858000000000000360e-03,1.373459999999999959e-01,1.288090000000000068e-01,1.885229999999999961e-01
9.520699999999999996e-02,7.741999999999999750e-03,1.561980000000000035e-01,1.319619999999999960e-01,1.861130000000000007e-01
1.082229999999999998e-01,9.915999999999999467e-03,1.748099999999999932e-01,1.352200000000000069e-01,1.835620000000000029e-01
1.215159999999999990e-01,1.238999999999999997e-02,1.931660000000000044e-01,1.385540000000000105e-01,1.808829999999999882e-01
1.350889999999999869e-01,1.517300000000000072e-02,2.112539999999999973e-01,1.419370000000000076e-01,1.780889999999999973e-01
1.489399999999999891e-01,1.827200000000000005e-02,2.290629999999999888e-01,1.453440000000000010e-01,1.751939999999999886e-01
1.630649999999999877e-01,2.169600000000000001e-02,2.465829999999999966e-01,1.487529999999999963e-01,1.722090000000000010e-01
1.774580000000000046e-01,2.545100000000000140e-02,2.638039999999999830e-01,1.521450000000000025e-01,1.691459999999999908e-01
1.921120000000000050e-01,2.954299999999999982e-02,2.807180000000000231e-01,1.555030000000000023e-01,1.660149999999999959e-01
2.070170000000000066e-01,3.397399999999999726e-02,2.973199999999999732e-01,1.588150000000000117e-01,1.628249999999999975e-01
2.221640000000000004e-01,3.875100000000000072e-02,3.136019999999999919e-01,1.620689999999999908e-01,1.595830000000000026e-01
2.375400000000000011e-01,4.387300000000000227e-02,3.295609999999999928e-01,1.652559999999999862e-01,1.562969999999999915e-01
2.531329999999999969e-01,4.934299999999999797e-02,3.451899999999999968e-01,1.683689999999999909e-01,1.529739999999999989e-01
2.689329999999999776e-01,5.516100000000000170e-02,3.604879999999999751e-01,1.714019999999999988e-01,1.496190000000000020e-01
2.849260000000000126e-01,6.132699999999999957e-02,3.754500000000000060e-01,1.743500000000000050e-01,1.462360000000000049e-01
3.010990000000000055e-01,6.783799999999999553e-02,3.900730000000000031e-01,1.772120000000000084e-01,1.428319999999999868e-01
3.174399999999999999e-01,7.469399999999999651e-02,4.043559999999999932e-01,1.799840000000000051e-01,1.394090000000000051e-01
3.339369999999999838e-01,8.189000000000000445e-02,4.182969999999999744e-01,1.826649999999999940e-01,1.359730000000000105e-01
3.505780000000000007e-01,8.942300000000000249e-02,4.318949999999999734e-01,1.852550000000000030e-01,1.325250000000000039e-01
3.673500000000000099e-01,9.728900000000000048e-02,4.451470000000000149e-01,1.877540000000000042e-01,1.290689999999999893e-01
3.842430000000000012e-01,1.054829999999999934e-01,4.580540000000000167e-01,1.901619999999999977e-01,1.256079999999999974e-01
4.012459999999999916e-01,1.139990000000000031e-01,4.706150000000000055e-01,1.924800000000000122e-01,1.221450000000000036e-01
4.183479999999999976e-01,1.228309999999999957e-01,4.828290000000000082e-01,1.947089999999999932e-01,1.186809999999999948e-01
4.355390000000000095e-01,1.319730000000000070e-01,4.946969999999999978e-01,1.968489999999999962e-01,1.152190000000000020e-01
4.528099999999999903e-01,1.414179999999999882e-01,5.062189999999999745e-01,1.989029999999999965e-01,1.117599999999999982e-01
4.701509999999999856e-01,1.511599999999999888e-01,5.173950000000000493e-01,2.008729999999999960e-01,1.083070000000000005e-01
4.875550000000000161e-01,1.611899999999999999e-01,5.282259999999999733e-01,2.027589999999999948e-01,1.048609999999999959e-01
5.050130000000000452e-01,1.715000000000000135e-01,5.387119999999999687e-01,2.045629999999999948e-01,1.014219999999999983e-01
5.225189999999999557e-01,1.820839999999999959e-01,5.488539999999999530e-01,2.062879999999999991e-01,9.799299999999999677e-02
5.400650000000000173e-01,1.929319999999999924e-01,5.586529999999999552e-01,2.079350000000000087e-01,9.457400000000000528e-02
5.576449999999999463e-01,2.040369999999999961e-01,5.681110000000000326e-01,2.095059999999999978e-01,9.116699999999999804e-02
5.752530000000000143e-01,2.153899999999999981e-01,5.772279999999999633e-01,2.110029999999999961e-01,8.777100000000000180e-02
5.928839999999999666e-01,2.269809999999999883e-01,5.860049999999999981e-01,2.124280000000000057e-01,8.438700000000000367e-02
6.105319999999999636e-01,2.388039999999999885e-01,5.944430000000000547e-01,2.137830000000000008e-01,8.101600000000000468e-02
6.281949999999999479e-01,2.508489999999999887e-01,6.025449999999999973e-01,2.150710000000000122e-01,7.765800000000000480e-02
6.458669999999999689e-01,2.631060000000000065e-01,6.103110000000000479e-01,2.162920000000000120e-01,7.431300000000000405e-02
6.635450000000000514e-01,2.755679999999999796e-01,6.177420000000000133e-01,2.174510000000000054e-01,7.098100000000000243e-02
6.812270000000000270e-01,2.882259999999999822e-01,6.248399999999999510e-01,2.185489999999999933e-01,6.766199999999999992e-02
6.989090000000000025e-01,3.010700000000000043e-01,6.316060000000000008e-01,2.195900000000000074e-01,6.435399999999999454e-02
7.165899999999999492e-01,3.140919999999999823e-01,6.380419999999999980e-01,2.205779999999999963e-01,6.105900000000000216e-02
7.342680000000000318e-01,3.272849999999999926e-01,6.441480000000000539e-01,2.215149999999999897e-01,5.777399999999999897e-02
7.519419999999999993e-01,3.406379999999999963e-01,6.499249999999999750e-01,2.224079999999999946e-01,5.449899999999999883e-02
7.696119999999999628e-01,3.541449999999999876e-01,6.553750000000000409e-01,2.232619999999999882e-01,5.123300000000000076e-02
7.872770000000000046e-01,3.677969999999999851e-01,6.604980000000000295e-01,2.240860000000000074e-01,4.797400000000000275e-02
8.049399999999999888e-01,3.815870000000000095e-01,6.652959999999999985e-01,2.248880000000000046e-01,4.472099999999999687e-02
8.226020000000000554e-01,3.955089999999999995e-01,6.697680000000000300e-01,2.256799999999999917e-01,4.147200000000000192e-02
8.402650000000000396e-01,4.095559999999999756e-01,6.739150000000000418e-01,2.264760000000000106e-01,3.822400000000000103e-02
8.579350000000000032e-01,4.237230000000000163e-01,6.777370000000000339e-01,2.272959999999999980e-01,3.497700000000000115e-02
8.756159999999999499e-01,4.380060000000000064e-01,6.812350000000000350e-01,2.281620000000000037e-01,3.172599999999999726e-02
8.933159999999999989e-01,4.524029999999999996e-01,6.844080000000000163e-01,2.291030000000000011e-01,2.847099999999999978e-02
9.110470000000000512e-01,4.669119999999999937e-01,6.872549999999999493e-01,2.301549999999999985e-01,2.520800000000000124e-02
9.288189999999999502e-01,4.815360000000000196e-01,6.897759999999999447e-01,2.313610000000000111e-01,2.193399999999999864e-02
9.466499999999999915e-01,4.962779999999999969e-01,6.919689999999999452e-01,2.327750000000000097e-01,1.864800000000000138e-02
9.645590000000000552e-01,5.111470000000000180e-01,6.938339999999999508e-01,2.344650000000000067e-01,1.534699999999999953e-02
9.825730000000000297e-01,5.261550000000000393e-01,6.953679999999999861e-01,2.365089999999999970e-01,1.202899999999999976e-02
1.000723999999999947e+00,5.413179999999999659e-01,6.965710000000000512e-01,2.390049999999999952e-01,8.694999999999999604e-03
1.019050000000000011e+00,5.566609999999999614e-01,6.974409999999999776e-01,2.420670000000000044e-01,5.344999999999999925e-03
1.037600000000000078e+00,5.722120000000000539e-01,6.979750000000000121e-01,2.458299999999999930e-01,1.981000000000000122e-03
1.056432999999999955e+00,5.880130000000000079e-01,6.981730000000000436e-01,2.504529999999999812e-01,-1.391000000000000092e-03
1.075619000000000103e+00,6.041109999999999536e-01,6.980340000000000433e-01,2.561160000000000103e-01,-4.764000000000000005e-03
1.095244000000000106e+00,6.205680000000000085e-01,6.975580000000000114e-01,2.630219999999999780e-01,-8.125000000000000278e-03
1.115409000000000095e+00,6.374549999999999939e-01,6.967449999999999477e-01,2.713940000000000241e-01,-1.145700000000000017e-02
1.136233000000000049e+00,6.548589999999999689e-01,6.955999999999999961e-01,2.814720000000000000e-01,-1.473700000000000010e-02
1.157853999999999939e+00,6.728809999999999514e-01,6.941260000000000208e-01,2.934970000000000079e-01,-1.793399999999999855e-02
1.180430000000000090e+00,6.916360000000000285e-01,6.923329999999999762e-01,3.076999999999999735e-01,-2.100899999999999990e-02
1.204136000000000095e+00,7.112530000000000241e-01,6.902319999999999567e-01,3.242720000000000047e-01,-2.391499999999999876e-02
1.229165000000000063e+00,7.318700000000000205e-01,6.878400000000000070e-01,3.433280000000000221e-01,-2.659200000000000105e-02
1.255719999999999947e+00,7.536310000000000509e-01,6.851810000000000400e-01,3.648500000000000076e-01,-2.897200000000000122e-02
1.284003999999999923e+00,7.766779999999999795e-01,6.822840000000000016e-01,3.886069999999999802e-01,-3.097799999999999859e-02
1.314203000000000010e+00,8.011359999999999593e-01,6.791859999999999564e-01,4.140429999999999944e-01,-3.252399999999999736e-02
1.346462000000000048e+00,8.270920000000000494e-01,6.759340000000000348e-01,4.401300000000000212e-01,-3.352200000000000318e-02
1.380843000000000043e+00,8.545700000000000518e-01,6.725809999999999844e-01,4.651540000000000119e-01,-3.388900000000000245e-02
