x,y,theta,v,omega
1.064694,2.884466,-1.536419,0.497202,-0.112506
-0.057675,0.662144,1.615357,0.493764,0.001441
0.094673,0.916988,0.653265,0.500000,-0.000143
4.243094,-0.034515,-0.127171,0.262873,2.000000
0.025925,5.947171,2.185760,0.500000,-0.141352
2.043766,5.495773,-2.444120,0.500000,-0.362774
3.002301,3.386429,-1.171796,0.464851,-0.169838
1.349967,2.695824,-0.971702,0.477769,-0.399463
2.908511,3.337073,2.309168,0.486582,-0.345209
4.619558,0.872357,-2.446538,0.480384,-0.435805
1.622325,1.521106,-3.134633,0.500000,-0.232452
-0.055149,4.347474,0.963972,0.463887,0.191966
4.742241,1.314160,2.092612,0.437992,-1.703666
5.084264,1.469304,1.594808,0.500000,-0.127789
1.917936,2.952641,-2.078135,0.466717,-0.144236
4.901025,3.740058,3.047068,0.494182,-0.646556
4.984348,2.004478,-2.473471,0.483497,0.254751
5.967278,4.823315,1.816836,0.466684,-0.115907
0.090564,0.235564,-0.629821,0.444749,0.855282
1.329999,2.526421,1.993485,0.485905,-0.091930
4.226296,4.011162,0.039771,0.454358,0.690405
4.211799,4.011692,-0.138924,0.500000,-0.428126
0.022166,1.797939,-0.054382,0.500000,-0.172806
2.266492,-0.079027,0.730595,0.471793,0.095214
2.100666,5.911633,-2.655563,0.458597,0.179740
3.452800,3.348309,-0.898787,0.485138,-0.664616
2.876060,4.388644,2.209539,0.452929,0.666793
2.428971,1.523929,-0.183642,0.447175,0.926773
3.445107,4.350651,1.933334,0.362099,1.641311
1.641789,1.688287,-1.526929,0.500000,0.108787
5.445200,6.089913,-1.448381,0.500000,0.023634
5.694268,0.076876,1.254548,0.500000,0.088936
1.554698,2.563188,0.958678,0.500000,0.282784
5.953246,3.241740,-2.408124,0.500000,0.110768
3.423564,2.628590,-0.425933,0.500000,0.553229
5.091793,1.679198,-3.035473,0.493434,-0.181410
3.082018,4.663140,2.866859,0.438214,-1.446032
3.677385,2.664903,1.485770,0.458899,-0.088669
5.915702,2.324779,1.805772,0.496361,-0.015490
4.100853,6.098424,-1.701599,0.498253,0.069345
2.552948,0.092570,-1.941298,0.500000,-0.122130
4.829702,0.403259,1.449253,0.500000,-0.222645
3.114486,4.389626,-1.404257,0.500000,0.262649
0.073715,2.159639,1.228066,0.500000,0.096579
0.416753,5.281536,0.589030,0.494660,0.489290
3.415869,4.617045,-0.529990,0.495149,-0.050078
1.786540,2.988575,2.644450,0.500000,0.167501
1.866275,2.516845,2.195824,0.453796,0.134066
0.092007,3.958613,2.771085,0.500000,-0.183083
1.936937,3.417448,-0.970339,0.463963,0.103396
2.123340,2.650202,-2.307605,0.500000,0.012794
5.902140,4.500108,-1.427189,0.485077,0.096529
2.861208,3.457401,0.846908,0.459677,-0.032699
0.809737,3.228024,-1.068465,0.491896,-0.091617
2.596057,1.317462,0.725187,0.499029,-0.636090
1.184439,2.582571,2.491503,0.469015,-0.304562
1.458931,5.959772,-1.072316,0.499737,0.194185
1.480590,5.985793,2.199771,0.461147,1.097818
