traj_id,t,step,x,y,theta,v,omega,via_angle_deg,via_radius,clearance,w_effort,w_smooth
0,0.0000,0,0.000000,0.000000,0.000000,0.111519,0.200890,-135.0,3.818,0.015,1.000,25.000
0,0.1000,1,0.011151,0.000112,0.020089,0.113479,0.199536,-135.0,3.818,0.015,1.000,25.000
0,0.2000,2,0.022494,0.000453,0.040043,0.115557,0.198096,-135.0,3.818,0.015,1.000,25.000
0,0.3000,3,0.034035,0.001030,0.059852,0.117814,0.196519,-135.0,3.818,0.015,1.000,25.000
0,0.4000,4,0.045787,0.001850,0.079504,0.120275,0.194779,-135.0,3.818,0.015,1.000,25.000
0,0.5000,5,0.057767,0.002922,0.098982,0.122939,0.192865,-135.0,3.818,0.015,1.000,25.000
0,0.6000,6,0.069988,0.004255,0.118269,0.125792,0.190777,-135.0,3.818,0.015,1.000,25.000
0,0.7000,7,0.082465,0.005858,0.137346,0.128809,0.188523,-135.0,3.818,0.015,1.000,25.000
0,0.8000,8,0.095207,0.007742,0.156198,0.131962,0.186113,-135.0,3.818,0.015,1.000,25.000
0,0.9000,9,0.108223,0.009916,0.174810,0.135220,0.183562,-135.0,3.818,0.015,1.000,25.000
0,1.0000,10,0.121516,0.012390,0.193166,0.138554,0.180883,-135.0,3.818,0.015,1.000,25.000
0,1.1000,11,0.135089,0.015173,0.211254,0.141937,0.178089,-135.0,3.818,0.015,1.000,25.000
0,1.2000,12,0.148940,0.018272,0.229063,0.145344,0.175194,-135.0,3.818,0.015,1.000,25.000
0,1.3000,13,0.163065,0.021696,0.246583,0.148753,0.172209,-135.0,3.818,0.015,1.000,25.000
0,1.4000,14,0.177458,0.025451,0.263804,0.152145,0.169146,-135.0,3.818,0.015,1.000,25.000
0,1.5000,15,0.192112,0.029543,0.280718,0.155503,0.166015,-135.0,3.818,0.015,1.000,25.000
0,1.6000,16,0.207017,0.033974,0.297320,0.158815,0.162825,-135.0,3.818,0.015,1.000,25.000
0,1.7000,17,0.222164,0.038751,0.313602,0.162069,0.159583,-135.0,3.818,0.015,1.000,25.000
0,1.8000,18,0.237540,0.043873,0.329561,0.165256,0.156297,-135.0,3.818,0.015,1.000,25.000
0,1.9000,19,0.253133,0.049343,0.345190,0.168369,0.152974,-135.0,3.818,0.015,1.000,25.000
0,2.0000,20,0.268933,0.055161,0.360488,0.171402,0.149619,-135.0,3.818,0.015,1.000,25.000
0,2.1000,21,0.284926,0.061327,0.375450,0.174350,0.146236,-135.0,3.818,0.015,1.000,25.000
0,2.2000,22,0.301099,0.067838,0.390073,0.177212,0.142832,-135.0,3.818,0.015,1.000,25.000
0,2.3000,23,0.317440,0.074694,0.404356,0.179984,0.139409,-135.0,3.818,0.015,1.000,25.000
0,2.4000,24,0.333937,0.081890,0.418297,0.182665,0.135973,-135.0,3.818,0.015,1.000,25.000
0,2.5000,25,0.350578,0.089423,0.431895,0.185255,0.132525,-135.0,3.818,0.015,1.000,25.000
0,2.6000,26,0.367350,0.097289,0.445147,0.187754,0.129069,-135.0,3.818,0.015,1.000,25.000
0,2.7000,27,0.384243,0.105483,0.458054,0.190162,0.125608,-135.0,3.818,0.015,1.000,25.000
0,2.8000,28,0.401246,0.113999,0.470615,0.192480,0.122145,-135.0,3.818,0.015,1.000,25.000
0,2.9000,29,0.418348,0.122831,0.482829,0.194709,0.118681,-135.0,3.818,0.015,1.000,25.000
0,3.0000,30,0.435539,0.131973,0.494697,0.196849,0.115219,-135.0,3.818,0.015,1.000,25.000
0,3.1000,31,0.452810,0.141418,0.506219,0.198903,0.111760,-135.0,3.818,0.015,1.000,25.000
0,3.2000,32,0.470151,0.151160,0.517395,0.200873,0.108307,-135.0,3.818,0.015,1.000,25.000
0,3.3000,33,0.487555,0.161190,0.528226,0.202759,0.104861,-135.0,3.818,0.015,1.000,25.000
0,3.4000,34,0.505013,0.171500,0.538712,0.204563,0.101422,-135.0,3.818,0.015,1.000,25.000
0,3.5000,35,0.522519,0.182084,0.548854,0.206288,0.097993,-135.0,3.818,0.015,1.000,25.000
0,3.6000,36,0.540065,0.192932,0.558653,0.207935,0.094574,-135.0,3.818,0.015,1.000,25.000
0,3.7000,37,0.557645,0.204037,0.568111,0.209506,0.091167,-135.0,3.818,0.015,1.000,25.000
0,3.8000,38,0.575253,0.215390,0.577228,0.211003,0.087771,-135.0,3.818,0.015,1.000,25.000
0,3.9000,39,0.592884,0.226981,0.586005,0.212428,0.084387,-135.0,3.818,0.015,1.000,25.000
0,4.0000,40,0.610532,0.238804,0.594443,0.213783,0.081016,-135.0,3.818,0.015,1.000,25.000
