_ts,tag,method,dataset_tag,mode,n_features,sigma,gamma_safe,gamma_unsafe,gamma_dyn,solver,status,theta_norm,runtime_s,path
2026-05-19T10:38:51,soft_L200_sig1.5_gs1.5__e2872e,rff,legacy_set_02__migrate,soft,200,1.5,1.5,1.5,0.05,CLARABEL,optimal,168.18097486733694,192.7,/home/bb/Desktop/eth-v26/ATIC_ABB_Learning_CBF/.claude/worktrees/pipeline-io/runs/cbfs/rff/soft_L200_sig1.5_gs1.5__e2872e
2026-05-19T10:48:34,soft_L200_sig2_gs1.5__d25ca4,rff,legacy_set_02__migrate,soft,200,2.0,1.5,1.5,0.05,CLARABEL,optimal,65.14878261842361,159.5,/home/bb/Desktop/eth-v26/ATIC_ABB_Learning_CBF/.claude/worktrees/pipeline-io/runs/cbfs/rff/soft_L200_sig2_gs1.5__d25ca4
2026-05-19T10:51:53,soft_L200_sig1.5_gs1.5__292337,rff,legacy_set_02__migrate,soft,200,1.5,1.5,1.5,0.05,CLARABEL,optimal,77.1616487493717,178.0,/home/bb/Desktop/eth-v26/ATIC_ABB_Learning_CBF/.claude/worktrees/pipeline-io/runs/cbfs/rff/soft_L200_sig1.5_gs1.5__292337
2026-05-19T10:58:31,soft_L300_sig1.5_gs1.5__759357,rff,legacy_set_02__migrate,soft,300,1.5,1.5,1.5,0.05,CLARABEL,optimal,94.67639035693394,314.5,/home/bb/Desktop/eth-v26/ATIC_ABB_Learning_CBF/.claude/worktrees/pipeline-io/runs/cbfs/rff/soft_L300_sig1.5_gs1.5__759357
2026-05-19T11:19:14,soft_L400_sig1.5_gs1.5__f87152,rff,legacy_set_02__migrate,soft,400,1.5,1.5,1.5,0.05,CLARABEL,optimal,111.11186807150519,480.7,/home/bb/Desktop/eth-v26/ATIC_ABB_Learning_CBF/.claude/worktrees/pipeline-io/runs/cbfs/rff/soft_L400_sig1.5_gs1.5__f87152
2026-05-19T11:38:54,soft_L400_sig1_gs1.5__56bb9a,rff,legacy_set_02__migrate,soft,400,1.0,1.5,1.5,0.05,CLARABEL,optimal,158.5435926810651,504.5,/home/bb/Desktop/eth-v26/ATIC_ABB_Learning_CBF/.claude/worktrees/pipeline-io/runs/cbfs/rff/soft_L400_sig1_gs1.5__56bb9a
2026-05-19T12:07:54,soft_L400_sig1.5_gs1.5__c239a0,rff,sig0.10_marg1.5_n1500_synU3000_bboxOv__af3ee2,soft,400,1.5,1.5,1.5,0.05,CLARABEL,optimal,132.79260398209402,448.8,/home/bb/Desktop/eth-v26/ATIC_ABB_Learning_CBF/.claude/worktrees/pipeline-io/runs/cbfs/rff/soft_L400_sig1.5_gs1.5__c239a0
2026-05-19T12:29:01,soft_L400_sig1.5_gs1.5__1937de,rff,sig0.10_marg1.5_n1500_synU3000_bboxOv_subE2000__6f59c8,soft,400,1.5,1.5,1.5,0.05,CLARABEL,optimal,37.088492656740335,18.1,/home/bb/Desktop/eth-v26/ATIC_ABB_Learning_CBF/.claude/worktrees/pipeline-io/runs/cbfs/rff/soft_L400_sig1.5_gs1.5__1937de
2026-05-19T12:34:13,soft_L400_sig1.5_gs1.5__082ec5,rff,sig0.10_marg1.5_n1500_synU3000_bboxOv_subE5000__39b45c,soft,400,1.5,1.5,1.5,0.05,CLARABEL,optimal,42.17012437401299,29.1,/home/bb/Desktop/eth-v26/ATIC_ABB_Learning_CBF/.claude/worktrees/pipeline-io/runs/cbfs/rff/soft_L400_sig1.5_gs1.5__082ec5
2026-05-19T12:44:49,soft_L400_sig0.8_gs1.5__80f400,rff,sig0.10_marg1.1_n4000_synU3000_bboxOv_subE5000_neu600__db9ad1,soft,400,0.8,1.5,1.5,0.05,CLARABEL,optimal,51.17468832756423,52.7,/home/bb/Desktop/eth-v26/ATIC_ABB_Learning_CBF/.claude/worktrees/pipeline-io/runs/cbfs/rff/soft_L400_sig0.8_gs1.5__80f400
2026-05-19T13:00:51,soft_L400_sig1.3_gs1.5__3277a5,rff,sig0.10_marg1.2_n4000_synU3000_bboxOv_subE5000_neu600__2627ee,soft,400,1.3,1.5,1.5,0.05,CLARABEL,optimal,48.087752745238745,49.6,/home/bb/Desktop/eth-v26/ATIC_ABB_Learning_CBF/.claude/worktrees/pipeline-io/runs/cbfs/rff/soft_L400_sig1.3_gs1.5__3277a5
