x,y,theta,v,omega
0.0,0.0,0.0,0.111519,0.20089
0.011151,0.000112,0.020089,0.113479,0.199536
0.022494,0.000453,0.040043,0.115557,0.198096
0.034035,0.00103,0.059852,0.117814,0.196519
0.045787,0.00185,0.079504,0.120275,0.194779
0.057767,0.002922,0.098982,0.122939,0.192865
0.069988,0.004255,0.118269,0.125792,0.190777
0.082465,0.005858,0.137346,0.128809,0.188523
0.095207,0.007742,0.156198,0.131962,0.186113
0.108223,0.009916,0.17481,0.13522,0.183562
0.121516,0.01239,0.193166,0.138554,0.180883
0.135089,0.015173,0.211254,0.141937,0.178089
0.14894,0.018272,0.229063,0.145344,0.175194
0.163065,0.021696,0.246583,0.148753,0.172209
0.177458,0.025451,0.263804,0.152145,0.169146
0.192112,0.029543,0.280718,0.155503,0.166015
0.207017,0.033974,0.29732,0.158815,0.162825
0.222164,0.038751,0.313602,0.162069,0.159583
0.23754,0.043873,0.329561,0.165256,0.156297
0.253133,0.049343,0.34519,0.168369,0.152974
0.268933,0.055161,0.360488,0.171402,0.149619
0.284926,0.061327,0.37545,0.17435,0.146236
0.301099,0.067838,0.390073,0.177212,0.142832
0.31744,0.074694,0.404356,0.179984,0.139409
0.333937,0.08189,0.418297,0.182665,0.135973
0.350578,0.089423,0.431895,0.185255,0.132525
0.36735,0.097289,0.445147,0.187754,0.129069
0.384243,0.105483,0.458054,0.190162,0.125608
0.401246,0.113999,0.470615,0.19248,0.122145
0.418348,0.122831,0.482829,0.194709,0.118681
0.435539,0.131973,0.494697,0.196849,0.115219
0.45281,0.141418,0.506219,0.198903,0.11176
0.470151,0.15116,0.517395,0.200873,0.108307
0.487555,0.16119,0.528226,0.202759,0.104861
0.505013,0.1715,0.538712,0.204563,0.101422
0.522519,0.182084,0.548854,0.206288,0.097993
0.540065,0.192932,0.558653,0.207935,0.094574
0.557645,0.204037,0.568111,0.209506,0.091167
0.575253,0.21539,0.577228,0.211003,0.087771
0.592884,0.226981,0.586005,0.212428,0.084387
0.610532,0.238804,0.594443,0.213783,0.081016
0.628195,0.250849,0.602545,0.215071,0.077658
0.645867,0.263106,0.610311,0.216292,0.074313
0.663545,0.275568,0.617742,0.217451,0.070981
0.681227,0.288226,0.62484,0.218549,0.067662
0.698909,0.30107,0.631606,0.21959,0.064354
0.71659,0.314092,0.638042,0.220578,0.061059
0.734268,0.327285,0.644148,0.221515,0.057774
0.751942,0.340638,0.649925,0.222408,0.054499
0.769612,0.354145,0.655375,0.223262,0.051233
0.787277,0.367797,0.660498,0.224086,0.047974
0.80494,0.381587,0.665296,0.224888,0.044721
0.822602,0.395509,0.669768,0.22568,0.041472
0.840265,0.409556,0.673915,0.226476,0.038224
0.857935,0.423723,0.677737,0.227296,0.034977
0.875616,0.438006,0.681235,0.228162,0.031726
0.893316,0.452403,0.684408,0.229103,0.028471
0.911047,0.466912,0.687255,0.230155,0.025208
0.928819,0.481536,0.689776,0.231361,0.021934
0.94665,0.496278,0.691969,0.232775,0.018648
0.964559,0.511147,0.693834,0.234465,0.015347
0.982573,0.526155,0.695368,0.236509,0.012029
1.000724,0.541318,0.696571,0.239005,0.008695
1.01905,0.556661,0.697441,0.242067,0.005345
1.0376,0.572212,0.697975,0.24583,0.001981
1.056433,0.588013,0.698173,0.250453,-0.001391
1.075619,0.604111,0.698034,0.256116,-0.004764
1.095244,0.620568,0.697558,0.263022,-0.008125
1.115409,0.637455,0.696745,0.271394,-0.011457
1.136233,0.654859,0.6956,0.281472,-0.014737
1.157854,0.672881,0.694126,0.293497,-0.017934
1.18043,0.691636,0.692333,0.3077,-0.021009
1.204136,0.711253,0.690232,0.324272,-0.023915
1.229165,0.73187,0.68784,0.343328,-0.026592
1.25572,0.753631,0.685181,0.36485,-0.028972
1.284004,0.776678,0.682284,0.388607,-0.030978
1.314203,0.801136,0.679186,0.414043,-0.032524
1.346462,0.827092,0.675934,0.44013,-0.033522
1.380843,0.85457,0.672581,0.465154,-0.033889
1.417277,0.883488,0.669193,0.486445,-0.033559
1.455481,0.913601,0.665837,0.5,-0.0325
1.494851,0.944422,0.662587,0.5,-0.030738
1.534318,0.97512,0.659513,0.5,-0.028345
1.573876,1.0057,0.656678,0.5,-0.025399
1.613516,1.036174,0.654139,0.5,-0.02195
1.653228,1.066555,0.651943,0.5,-0.018014
1.693001,1.096855,0.650142,0.5,-0.01356
1.732821,1.127093,0.648786,0.5,-0.008514
1.772675,1.157287,0.647935,0.5,-0.002767
1.812546,1.187459,0.647658,0.5,0.003815
1.852415,1.217632,0.648039,0.5,0.011374
1.892261,1.247836,0.649177,0.5,0.020043
1.93206,1.278103,0.651181,0.5,0.029922
