x,y,theta
2.129209,1.431817,0.678387
2.167988,1.463379,0.687926
2.206442,1.495337,0.698879
2.244522,1.527738,0.711139
2.282184,1.560625,0.724506
2.319389,1.594028,0.738688
2.356109,1.627963,0.753301
2.39233,1.662431,0.767906
2.428051,1.697415,0.782064
2.463288,1.732888,0.795394
2.498069,1.768808,0.807606
2.532433,1.805127,0.818508
2.566425,1.841795,0.828
1.449945,2.196627,0.795859
1.485235,2.232046,0.778592
1.521173,2.266808,0.758939
1.557825,2.300816,0.737047
1.595244,2.333977,0.713234
1.633466,2.36621,0.687989
1.672501,2.397453,0.661964
1.712336,2.42767,0.635916
1.752933,2.456853,0.610607
1.794237,2.485029,0.586698
1.836177,2.51225,0.564704
1.878676,2.538589,0.544971
1.921654,2.564138,0.527689
1.965038,2.588995,0.512909
1.438508,2.210509,0.717398
1.476363,2.243173,0.706444
1.514599,2.275391,0.693902
1.553262,2.307095,0.679756
1.592393,2.338219,0.664098
1.632026,2.368701,0.647134
1.672185,2.398487,0.629191
1.71288,2.427536,0.610702
1.754105,2.455827,0.592173
1.795841,2.483359,0.574114
1.838056,2.510153,0.556975
1.880706,2.536246,0.541109
1.923747,2.561692,0.526761
1.967127,2.586554,0.514073
1.461717,2.263698,0.602482
1.503014,2.291885,0.59536
1.544521,2.319763,0.587515
1.586255,2.347299,0.578961
1.628232,2.374465,0.569777
1.670463,2.401233,0.56011
1.712954,2.427586,0.550167
1.755705,2.453514,0.540199
1.79871,2.479021,0.530461
1.841955,2.504117,0.521182
1.885424,2.528824,0.512545
1.929095,2.553173,0.504681
1.972946,2.577195,0.497668
1.490234,2.315885,0.479375
1.534604,2.338933,0.478788
1.578988,2.361957,0.478315
1.623381,2.384962,0.477894
1.667784,2.407949,0.477483
1.712197,2.430916,0.477057
1.756619,2.453865,0.476606
1.801052,2.476793,0.476132
1.845497,2.499699,0.475643
1.889952,2.522584,0.475153
1.934419,2.545447,0.474673
1.978896,2.568289,0.474214
