x,y,theta,v,omega
4.311197,3.194374,2.390192,0.5,-0.153694
4.274924,3.228787,2.374822,0.5,-0.0295
4.238967,3.263531,2.371872,0.5,-0.117555
4.203267,3.298538,2.360117,0.488208,-0.160767
4.168889,3.333201,2.34404,0.496304,-0.144461
4.467067,1.774235,-2.902704,0.412119,1.175669
3.829977,1.19675,-2.365115,0.487418,-0.018557
3.795174,1.162625,-2.366971,0.481228,-0.040172
2.931599,0.614404,-2.715774,0.488075,0.195914
2.88735,0.593809,-2.696183,0.5,0.183639
2.842429,0.571855,-2.677819,0.481214,0.117622
2.799518,0.550076,-2.666057,0.5,-0.326824
2.754699,0.527916,-2.698739,0.498225,0.169379
2.709866,0.506186,-2.681801,0.5,-0.261223
5.402244,5.269589,2.363237,0.5,-0.15128
5.854141,5.191279,-2.01424,0.5,1.091557
5.835193,5.145035,-1.905084,0.453869,1.249285
5.823015,5.101343,-1.780155,0.46886,0.68525
5.814849,5.055183,-1.71163,0.48238,0.571923
5.807714,4.913792,-1.536492,0.474158,0.280081
5.810003,4.866433,-1.508484,0.473705,0.112276
5.813219,4.819172,-1.497256,0.5,0.218015
5.817436,4.769351,-1.475454,0.5,0.044905
5.822307,4.719589,-1.470964,0.493053,-0.01462
5.827186,4.670525,-1.472426,0.491273,-0.005327
5.831997,4.621634,-1.472959,0.497704,-0.083798
5.836651,4.572082,-1.481338,0.5,-0.129127
5.840797,4.522255,-1.494251,0.477495,0.021219
5.844499,4.474649,-1.492129,0.478076,-0.284719
5.847577,4.426942,-1.520601,0.5,-0.096943
5.849843,4.376994,-1.530295,0.479028,-0.131466
5.851468,4.329119,-1.543442,0.5,-0.217116
5.852293,4.279126,-1.565154,0.5,0.160965
5.852978,4.229132,-1.549057,0.496769,-0.300391
5.853311,4.179458,-1.579096,0.492265,-0.093061
5.852144,4.081282,-1.574838,0.5,-0.068013
5.851772,4.031283,-1.58164,0.5,-0.039567
5.851131,3.981287,-1.585596,0.461399,0.0245
5.850504,3.935152,-1.583146,0.5,-0.007251
5.849869,3.885156,-1.583871,0.5,0.069172
5.849388,3.835158,-1.576954,0.5,-0.23111
5.848502,3.785167,-1.600065,0.484861,-0.127221
3.925661,3.866576,2.532885,0.398463,1.703504
4.09524,3.428404,1.668113,0.5,-0.279758
4.091079,3.478229,1.640137,0.475243,0.12598
4.087487,3.525617,1.652735,0.498887,-0.040159
4.075529,3.672429,1.644135,0.497384,0.227979
1.408777,5.229753,-1.534997,0.494035,-0.407587
1.408877,5.13253,-1.593492,0.5,-0.161216
1.395886,4.888209,-1.644569,0.5,-0.08531
0.15594,3.074891,-1.612297,0.47948,1.001432
0.156351,3.026964,-1.512154,0.447741,0.90299
0.170056,2.935447,-1.338547,0.481746,0.594513
0.182531,2.888923,-1.279095,0.5,0.663349
0.198487,2.841547,-1.21276,0.5,0.277648
0.303992,2.616543,-1.017872,0.477107,0.556542
0.330165,2.57666,-0.962218,0.485236,0.922661
0.390491,2.504702,-0.784577,0.426523,0.945651
0.422054,2.476039,-0.690012,0.449816,1.133112
0.458292,2.44943,-0.576701,0.419634,1.047885
0.494602,2.428432,-0.471912,0.448393,0.679133
0.535201,2.40942,-0.403999,0.481311,1.047201
0.580367,2.39285,-0.299279,0.465763,0.793432
5.8022,0.140618,2.189316,0.377068,2.0
5.745874,0.193663,2.565021,0.43258,1.400935
4.933973,0.292575,3.004228,0.5,0.051022
4.835967,0.306514,2.97807,0.472084,-0.547684
4.789622,0.315471,2.923301,0.447405,-0.695495
4.746316,0.32667,2.853752,0.461269,-0.837189
4.702686,0.3416,2.770033,0.47405,-0.783659
4.659235,0.360524,2.691667,0.425215,-0.505867
4.621429,0.379977,2.64108,0.472685,-0.840997
4.539874,0.432862,2.513745,0.485551,-0.594875
4.50145,0.462535,2.454258,0.466184,-0.442264
5.649407,3.338287,1.276613,0.475843,0.732741
5.661524,3.384292,1.349887,0.493188,0.458876
5.671223,3.432643,1.395774,0.489416,0.581997
5.678339,3.481058,1.453974,0.483097,0.71667
5.682195,3.578334,1.618052,0.49088,0.502483
5.678645,3.627288,1.6683,0.464307,0.808037
5.672264,3.673266,1.749104,0.480854,0.854859
5.661724,3.720167,1.834589,0.446568,0.686487
5.64861,3.762846,1.903238,0.489672,0.590877
5.458667,4.103151,2.160506,0.479577,-0.036507
5.126265,0.411505,1.47447,0.401171,-1.166872
5.132442,0.451121,1.357783,0.480046,-0.899707
5.144686,0.497521,1.267812,0.460032,-0.729693
5.160001,0.540889,1.194843,0.490797,-0.593107
5.179364,0.58598,1.135532,0.495028,-0.207058
5.2007,0.630648,1.114827,0.499482,-0.202161
5.857294,2.960054,-2.479528,0.342149,2.0
5.811012,2.905896,-2.090924,0.391828,1.59093
5.773997,2.785077,-1.702022,0.5,0.80714
5.768624,2.685313,-1.553777,0.493412,0.533457
5.786859,2.488344,-1.455278,0.5,0.018964
5.807842,2.241997,-1.526351,0.5,-0.517174
5.808771,2.192012,-1.578068,0.5,-0.13755
