x,y,theta,v,omega
5.497158,2.357496,3.837577,0.171244,-2.0
5.483009,2.3479,3.637577,0.232226,-2.0
5.46162,2.338958,3.437577,0.289462,-2.0
5.433275,2.33333,3.237577,0.310856,-2.0
5.402241,2.333455,3.037577,0.387855,-1.755114
5.364216,2.340838,2.862065,0.417183,-1.465638
5.325102,2.35524,2.715501,0.427374,-1.25003
5.28739,2.375287,2.590498,0.469918,-0.966923
5.248606,2.401789,2.493806,0.480726,-0.516316
5.211037,2.431774,2.442174,0.47208,-0.270696
5.175329,2.46265,2.415105,0.5,-0.494386
5.138789,2.496773,2.365666,0.496681,-0.077415
5.103473,2.531696,2.357925,0.484778,-0.063107
5.069243,2.566024,2.351614,0.494527,0.208531
5.034071,2.600786,2.372467,0.488358,0.370842
4.99836,2.634094,2.409551,0.5,0.177456
4.960875,2.667181,2.427297,0.5,0.28665
4.922633,2.69939,2.455962,0.5,0.189457
4.883634,2.730679,2.474908,0.5,0.248639
4.84396,2.761107,2.499772,0.495757,-0.091564
4.804386,2.790967,2.490615,0.5,-0.068907
4.764716,2.821402,2.483724,0.46566,-0.00522
4.727876,2.849883,2.483202,0.5,0.113838
4.688154,2.88025,2.494586,0.5,-0.003481
4.648264,2.910397,2.494238,0.474831,-0.129865
4.610575,2.939278,2.481252,0.5,-0.048911
4.571161,2.970044,2.47636,0.5,-0.07955
4.531946,3.001062,2.468405,0.48873,-0.136397
4.493944,3.031793,2.454766,0.5,-0.28672
4.45574,3.064047,2.426094,0.5,-0.137646
4.418229,3.097106,2.412329,0.461675,0.017913
4.383776,3.127837,2.41412,0.49247,-0.170812
4.347277,3.160898,2.397039,0.492183,-0.068475
4.311197,3.194374,2.390192,0.5,-0.153694
4.274924,3.228787,2.374822,0.5,-0.0295
4.467067,1.774235,-2.902704,0.412119,1.175669
4.427691,1.762155,-2.785137,0.470165,1.176125
4.384695,1.743198,-2.667525,0.458013,1.043925
4.345109,1.720202,-2.563132,0.455401,0.712687
4.307897,1.693967,-2.491864,0.49328,0.628783
4.269584,1.66291,-2.428985,0.47809,0.25276
4.233807,1.631198,-2.403709,0.5,0.474336
4.197624,1.596698,-2.356276,0.461246,0.372322
4.165621,1.563486,-2.319044,0.498328,0.214009
4.13211,1.526604,-2.297643,0.5,0.016017
4.098914,1.489214,-2.296041,0.5,0.106529
4.065948,1.451621,-2.285388,0.5,0.12428
4.033418,1.41365,-2.27296,0.5,-0.182722
4.000778,1.375775,-2.291232,0.5,-0.246692
3.967332,1.33861,-2.315901,0.49017,-0.216409
3.933709,1.302944,-2.337542,0.497538,0.00734
3.899203,1.2671,-2.336808,0.5,-0.087032
3.864384,1.231217,-2.345512,0.487021,-0.196039
3.829977,1.19675,-2.365115,0.487418,-0.018557
3.795174,1.162625,-2.366971,0.481228,-0.040172
3.760713,1.129035,-2.370988,0.498648,-0.115123
3.724737,1.094508,-2.382501,0.5,-0.164189
3.688183,1.060394,-2.398919,0.5,-0.310635
3.65083,1.027158,-2.429983,0.481783,-0.36539
3.613778,0.996369,-2.466522,0.483203,-0.157488
3.57582,0.966469,-2.482271,0.5,-0.233529
3.535945,0.936304,-2.505624,0.5,-0.403743
3.495132,0.907427,-2.545998,0.470921,-0.22181
3.455859,0.881442,-2.568179,0.5,-0.283429
3.413477,0.854916,-2.596522,0.472733,-0.371108
3.372609,0.831161,-2.633633,0.48548,0.007386
3.330199,0.807532,-2.632894,0.494677,-0.274729
3.28667,0.784036,-2.660367,0.487277,-0.163893
3.243293,0.761836,-2.676756,0.5,-0.144264
3.198438,0.739746,-2.691183,0.482138,-0.058504
3.154972,0.718884,-2.697033,0.5,0.053643
