x,y,theta,v,omega
2.797302,0.511503,0.292774,0.449078,1.093263
2.839505,0.526786,0.402101,0.457363,1.291464
2.880322,0.54735,0.531247,0.449241,1.4568
2.949227,0.602564,0.821104,0.394161,1.395235
2.97399,0.633189,0.960628,0.418446,1.158464
2.995929,0.668794,1.076474,0.449073,1.138733
3.003769,1.532612,1.614578,0.495044,0.105329
3.001342,1.582057,1.625111,0.498389,-0.115337
2.998924,1.631837,1.613578,0.470174,0.118886
2.993335,1.728688,1.648152,0.49832,0.348384
2.98862,1.778294,1.68299,0.5,0.414728
2.981993,1.827849,1.724463,0.489973,0.270912
2.973839,1.876162,1.751554,0.5,0.308835
3.326851,0.238749,-0.157537,0.184572,2.0
3.345247,0.23769,0.042463,0.214619,2.0
3.393859,0.250501,0.442463,0.318915,2.0
2.414524,2.448221,0.777714,0.472136,1.071109
2.446328,2.483085,0.884825,0.45971,1.185608
2.513148,2.601117,1.234569,0.459962,0.920131
2.711183,4.682961,1.300682,0.5,-1.001551
2.726914,4.7304,1.200527,0.434025,-1.026182
2.744666,4.769985,1.097908,0.421745,-1.274273
2.766212,4.806208,0.970481,0.391288,-1.47727
3.563178,4.910826,-0.085218,0.5,0.170206
3.61303,4.906994,-0.068197,0.5,0.048164
3.662922,4.903707,-0.063381,0.497037,0.156798
3.712548,4.900948,-0.047701,0.494144,0.074112
3.761915,4.898774,-0.04029,0.5,0.016324
3.811876,4.896801,-0.038658,0.492402,-0.079708
3.861071,4.894702,-0.046629,0.5,0.243622
3.961036,4.892382,-0.001664,0.5,0.101993
4.011035,4.892554,0.008535,0.5,0.01408
4.111031,4.893509,0.009801,0.470718,0.114653
4.208089,4.895073,0.012052,0.497953,-0.049883
4.307117,4.895973,0.010164,0.475156,-0.013445
4.35463,4.896424,0.008819,0.470603,-0.100784
4.448948,4.895587,-0.041692,0.450397,-0.496177
4.543071,4.886139,-0.169707,0.469908,-0.742816
4.633219,4.863267,-0.337752,0.47938,-0.990126
3.906648,1.589209,-1.857202,0.491344,0.680645
3.894381,1.54164,-1.789138,0.481905,0.664702
3.878524,1.444774,-1.699437,0.496868,-0.175622
3.871717,1.395556,-1.716999,0.470003,-0.708021
3.819395,1.22328,-2.085392,0.444525,-1.396078
3.76993,1.15802,-2.365128,0.397036,-1.465048
3.042081,1.635118,-4.590966,0.495089,-0.080432
2.494448,2.755044,-1.577008,0.458982,-0.575037
2.492844,2.70918,-1.634511,0.465254,-0.818553
2.465296,2.568631,-1.920494,0.450305,-1.270376
2.369037,2.435799,-2.480624,0.406437,-1.293502
1.137186,2.403441,-3.098648,0.5,-0.15063
0.890568,2.394359,-3.112231,0.466679,-0.215233
0.843909,2.393491,-3.133754,0.492453,-0.078353
0.794664,2.393298,-3.141589,0.49339,-0.04459
0.745325,2.393408,-3.146048,0.5,-0.001175
0.695326,2.393633,-3.146166,0.5,-0.274537
0.645335,2.394548,-3.173619,0.484677,-0.422886
0.59694,2.397124,-3.215908,0.456323,-0.787868
0.551614,2.4023,-3.294695,0.447593,-0.868881
0.50773,2.411038,-3.381583,0.469414,-0.82085
0.462643,2.424054,-3.463668,0.489905,-0.861621
0.416897,2.441543,-3.54983,0.474318,-1.058629
0.283496,2.543631,-4.095287,0.435069,-1.102099
0.260323,2.580428,-4.205497,0.42347,-1.018236
0.225696,2.662102,-4.415538,0.463502,-0.839442
0.214013,2.706942,-4.499482,0.445704,-0.600462
0.205909,2.750762,-4.559528,0.45946,-0.858677
0.20087,2.796417,-4.645396,0.5,-0.525811
0.237625,4.033215,-4.704618,0.5,0.160238
0.236836,4.083208,-4.688594,0.498226,-0.167735
0.236068,4.133025,-4.705368,0.5,0.171683
0.235288,4.183018,-4.688199,0.477887,0.054918
0.234001,4.230789,-4.682708,0.483917,-0.118726
1.485385,3.666147,-1.404869,0.5,0.064098
1.493801,3.61686,-1.39846,0.480707,0.412475
1.503019,3.569685,-1.357212,0.5,0.535487
1.51492,3.521128,-1.303663,0.5,0.964927
1.530423,3.473613,-1.207171,0.468553,1.15699
1.569353,3.39926,-0.932528,0.399233,1.323508
1.595189,3.368862,-0.800177,0.431077,1.336899
2.851297,3.634367,0.567612,0.463786,-0.925293
2.8915,3.657457,0.475082,0.443028,-0.737985
2.931608,3.67625,0.401284,0.489487,-0.876963
2.977448,3.693371,0.313587,0.468563,-0.797787
3.406917,3.72396,-0.071982,0.468992,-0.217618
3.503424,3.715281,-0.098443,0.5,-0.088733
3.650665,3.694065,-0.222962,0.471751,-0.934882
3.739144,3.665622,-0.390619,0.426044,-1.292588
2.438052,0.511344,-0.236999,0.499255,0.257428
2.956272,0.533882,0.442347,0.486809,0.482049
4.544964,2.399145,0.942119,0.454931,-0.859156
4.573265,2.434746,0.856203,0.452354,-0.95375
5.503694,3.227321,0.536724,0.5,0.676738
5.545766,3.254321,0.604398,0.5,0.843283
5.585662,3.284434,0.688726,0.450535,0.9985
5.64982,3.349422,0.898239,0.424224,1.266256
5.67408,3.384188,1.024865,0.460002,1.196467
5.695558,3.424835,1.144511,0.441408,1.057186
5.711653,3.465915,1.25023,0.481521,0.916962
