x,y,theta,v,omega
1.696993,0.40191,-0.3389,0.411703,1.064625
1.736476,0.390314,-0.232438,0.47901,1.036773
1.783577,0.381714,-0.12876,0.462658,0.975842
1.829676,0.378019,-0.031176,0.458507,0.549491
1.875521,0.37785,0.023773,0.5,0.514985
1.925454,0.380325,0.075271,0.5,0.41641
1.97522,0.385121,0.116912,0.484005,0.250997
2.023214,0.39137,0.142012,0.476501,0.077011
2.070358,0.398295,0.149713,0.5,0.214971
2.119715,0.406284,0.17121,0.5,-0.006074
2.168986,0.414788,0.170603,0.5,0.003575
2.218259,0.423285,0.17096,0.5,-0.050535
2.267551,0.431667,0.165907,0.485248,-0.007378
2.315413,0.439663,0.165169,0.5,-0.050568
2.364753,0.44776,0.160112,0.487972,-0.223247
2.413009,0.455001,0.137787,0.471816,-0.011617
2.459747,0.461454,0.136626,0.5,-0.098151
2.509314,0.468021,0.126811,0.478269,0.009186
2.556754,0.474092,0.127729,0.474003,-0.169941
2.603817,0.47973,0.110735,0.5,-0.082971
2.653533,0.485049,0.102438,0.499276,0.402151
2.703083,0.491152,0.142653,0.484744,0.654703
2.750805,0.499609,0.208124,0.480081,0.846509
2.797302,0.511503,0.292774,0.449078,1.093263
2.839505,0.526786,0.402101,0.457363,1.291464
2.880322,0.54735,0.531247,0.449241,1.4568
2.917263,0.572845,0.676927,0.436835,1.441771
2.949227,0.602564,0.821104,0.394161,1.395235
2.97399,0.633189,0.960628,0.418446,1.158464
2.995929,0.668794,1.076474,0.449073,1.138733
3.01494,0.709452,1.190347,0.432334,0.989176
3.028985,0.750322,1.289265,0.468184,1.006109
3.03971,0.795875,1.389876,0.5,0.809251
3.046708,0.845369,1.470801,0.5,0.810254
3.049679,0.895267,1.551827,0.5,0.257374
3.049984,0.945265,1.577564,0.5,0.466632
3.04848,0.995238,1.624227,0.5,0.340255
3.04496,1.045111,1.658253,0.5,0.219091
3.040048,1.094868,1.680162,0.492507,-0.101436
3.034921,1.143851,1.670018,0.49764,-0.012972
3.030023,1.193373,1.668721,0.5,-0.002303
3.025141,1.243134,1.668491,0.5,-0.101655
