x,y,theta,v,omega
0.0,0.0,0.0,0.111519,0.20089
0.082465,0.005858,0.137346,0.128809,0.188523
0.192112,0.029543,0.280718,0.155503,0.166015
0.207017,0.033974,0.29732,0.158815,0.162825
0.31744,0.074694,0.404356,0.179984,0.139409
0.435539,0.131973,0.494697,0.196849,0.115219
0.470151,0.15116,0.517395,0.200873,0.108307
0.557645,0.204037,0.568111,0.209506,0.091167
0.663545,0.275568,0.617742,0.217451,0.070981
0.787277,0.367797,0.660498,0.224086,0.047974
0.822602,0.395509,0.669768,0.22568,0.041472
0.911047,0.466912,0.687255,0.230155,0.025208
0.964559,0.511147,0.693834,0.234465,0.015347
1.01905,0.556661,0.697441,0.242067,0.005345
1.115409,0.637455,0.696745,0.271394,-0.011457
1.136233,0.654859,0.6956,0.281472,-0.014737
1.25572,0.753631,0.685181,0.36485,-0.028972
1.380843,0.85457,0.672581,0.465154,-0.033889
1.417277,0.883488,0.669193,0.486445,-0.033559
1.494851,0.944422,0.662587,0.5,-0.030738
1.573876,1.0057,0.656678,0.5,-0.025399
1.613516,1.036174,0.654139,0.5,-0.02195
1.693001,1.096855,0.650142,0.5,-0.01356
1.732821,1.127093,0.648786,0.5,-0.008514
1.852415,1.217632,0.648039,0.5,0.011374
1.971783,1.308468,0.654173,0.5,0.041051
2.011398,1.338975,0.658278,0.5,0.053388
2.090153,1.400598,0.670295,0.5,0.080925
2.600094,1.87876,0.83606,0.5,0.066737
2.66666,1.953385,0.848113,0.5,0.042095
2.699651,1.990956,0.852323,0.5,0.031834
2.765251,2.066431,0.857814,0.5,0.015824
2.797925,2.104278,0.859397,0.5,0.009979
2.863148,2.180081,0.860937,0.5,0.001994
2.92831,2.255935,0.86109,0.5,-0.002121
2.960895,2.293859,0.860878,0.5,-0.003137
3.026096,2.369679,0.860198,0.5,-0.003817
3.058718,2.407571,0.859816,0.5,-0.003728
3.156666,2.521177,0.858777,0.5,-0.002858
3.254716,2.634694,0.857994,0.5,-0.002304
3.287418,2.672517,0.857764,0.5,-0.002339
3.352849,2.748139,0.85728,0.5,-0.002781
3.38558,2.785938,0.857002,0.5,-0.003163
3.483844,2.89927,0.855914,0.5,-0.004543
3.516629,2.937021,0.85546,0.5,-0.004873
3.582253,3.012476,0.854473,0.5,-0.00476
3.615092,3.050179,0.853997,0.5,-0.004044
3.680818,3.125546,0.853326,0.5,-0.000433
3.746563,3.200896,0.85357,0.5,0.007476
3.779413,3.23859,0.854318,0.5,0.013611
3.877614,3.351976,0.860963,0.5,0.043285
3.974489,3.466496,0.878408,0.5,0.092138
4.068437,3.583421,0.912255,0.5,0.156531
4.098724,3.623203,0.927908,0.5,0.179389
4.15718,3.704331,0.966042,0.5,0.223797
0.035256,0.033608,0.623006,0.135995,0.282765
0.08241,0.071817,0.732829,0.177234,0.259836
0.122529,0.110884,0.808812,0.204991,0.239655
0.165036,0.158763,0.878527,0.229704,0.217439
0.19405,0.195344,0.921237,0.244429,0.201733
0.252318,0.278707,0.997039,0.269671,0.168753
0.309488,0.373836,1.059419,0.289473,0.134402
0.323484,0.399174,1.072859,0.293611,0.125681
0.378097,0.505586,1.117865,0.307097,0.090483
0.430629,0.618247,1.148741,0.316012,0.054993
0.443494,0.64711,1.15424,0.317585,0.046091
0.494282,0.764321,1.167324,0.321589,0.01037
0.544824,0.88288,1.16609,0.32284,-0.025547
0.557573,0.91254,1.163536,0.322956,-0.034547
0.596497,1.001319,1.150474,0.323732,-0.06148
0.651217,1.119322,1.120579,0.329454,-0.0964
