x,y,theta,v,omega
0.0,0.0,0.0,0.111519,0.20089
0.034035,0.00103,0.059852,0.117814,0.196519
0.108223,0.009916,0.17481,0.13522,0.183562
0.222164,0.038751,0.313602,0.162069,0.159583
0.418348,0.122831,0.482829,0.194709,0.118681
0.557645,0.204037,0.568111,0.209506,0.091167
0.592884,0.226981,0.586005,0.212428,0.084387
0.787277,0.367797,0.660498,0.224086,0.047974
0.822602,0.395509,0.669768,0.22568,0.041472
0.982573,0.526155,0.695368,0.236509,0.012029
1.056433,0.588013,0.698173,0.250453,-0.001391
1.18043,0.691636,0.692333,0.3077,-0.021009
1.284004,0.776678,0.682284,0.388607,-0.030978
1.380843,0.85457,0.672581,0.465154,-0.033889
1.534318,0.97512,0.659513,0.5,-0.028345
1.573876,1.0057,0.656678,0.5,-0.025399
1.732821,1.127093,0.648786,0.5,-0.008514
1.772675,1.157287,0.647935,0.5,-0.002767
1.93206,1.278103,0.651181,0.5,0.029922
2.011398,1.338975,0.658278,0.5,0.053388
2.600094,1.87876,0.83606,0.5,0.066737
2.633489,1.915972,0.842734,0.5,0.053792
2.699651,1.990956,0.852323,0.5,0.031834
2.797925,2.104278,0.859397,0.5,0.009979
2.863148,2.180081,0.860937,0.5,0.001994
2.960895,2.293859,0.860878,0.5,-0.003137
3.058718,2.407571,0.859816,0.5,-0.003728
3.124003,2.48332,0.859095,0.5,-0.003176
3.254716,2.634694,0.857994,0.5,-0.002304
3.287418,2.672517,0.857764,0.5,-0.002339
3.451075,2.861505,0.856324,0.5,-0.004098
3.615092,3.050179,0.853997,0.5,-0.004044
3.779413,3.23859,0.854318,0.5,0.013611
3.812224,3.276318,0.855679,0.5,0.021499
3.942428,3.428127,0.871033,0.5,0.073746
4.00623,3.505128,0.887622,0.5,0.112347
4.098724,3.623203,0.927908,0.5,0.179389
4.185146,3.745778,0.988422,0.5,0.244878
-0.001185,0.010326,0.50534,0.091135,0.300286
0.208637,0.214957,0.941411,0.251263,0.193661
0.22323,0.235411,0.960777,0.257746,0.185465
0.309488,0.373836,1.059419,0.289473,0.134402
0.323484,0.399174,1.072859,0.293611,0.125681
0.404598,0.561285,1.135076,0.312096,0.072764
0.417667,0.589626,1.142352,0.314185,0.063884
0.506893,0.793904,1.168361,0.322097,0.001408
0.583381,0.971766,1.155726,0.323325,-0.052527
0.596497,1.001319,1.150474,0.323732,-0.06148
0.665696,1.148915,1.110939,0.332669,-0.104667
0.765055,1.332776,1.037323,0.382674,-0.142738
0.784749,1.365586,1.023049,0.397864,-0.145604
0.904806,1.546684,0.950869,0.489344,-0.132146
0.993631,1.666221,0.914092,0.5,-0.100959
1.055455,1.744818,0.895062,0.5,-0.078474
1.182753,1.899067,0.868354,0.5,-0.056375
1.347218,2.087336,0.833974,0.5,-0.10602
1.38101,2.124188,0.823372,0.5,-0.126291
2.008754,2.613261,0.50057,0.5,-0.100445
2.096936,2.660416,0.482571,0.5,-0.061059
2.141297,2.683483,0.476465,0.5,-0.045127
2.319646,2.773988,0.465478,0.5,-0.005486
2.498398,2.863697,0.465682,0.5,0.006473
2.676979,2.953745,0.468393,0.5,0.005881
2.855347,3.044216,0.470155,0.5,0.001667
2.89992,3.066871,0.470322,0.5,0.000482
3.078215,3.157485,0.469798,0.5,-0.004237
3.212013,3.225294,0.468219,0.5,-0.006983
3.256639,3.247844,0.467521,0.5,-0.007408
3.435305,3.337723,0.464834,0.5,-0.002807
3.614063,3.42742,0.466689,0.5,0.023508
3.65869,3.449969,0.46904,0.5,0.035709
3.966857,3.615761,0.536174,0.5,0.202404
0.193442,0.286952,1.059375,0.287759,0.17471
0.337228,0.599245,1.194921,0.334007,0.060169
0.559272,1.163647,1.138669,0.332439,-0.133268
0.935992,1.723665,0.834942,0.5,-0.142144
1.109403,1.9037,0.779348,0.5,-0.071574
0.172946,0.395791,1.188457,0.334573,0.144537
0.296928,0.764961,1.278279,0.366746,0.00519
0.361067,0.974645,1.262047,0.360835,-0.072307
0.514419,1.360723,1.090689,0.336647,-0.222331
0.546978,1.419948,1.045173,0.343776,-0.24248
0.624658,1.539463,0.943599,0.386884,-0.267526
2.10535,2.647683,0.481888,0.5,-0.036191
-0.002935,0.148131,1.064629,0.279576,0.278052
0.023389,0.198897,1.118999,0.304388,0.252839
0.158403,0.600362,1.330227,0.393697,0.080906
0.202824,0.794603,1.35555,0.402637,0.005086
0.294529,1.179122,1.291891,0.376567,-0.147711
0.351991,1.35261,1.202901,0.348755,-0.222847
0.438354,1.535845,1.048097,0.330816,-0.303589
0.455302,1.564254,1.017738,0.333503,-0.314483
0.585737,1.734303,0.818365,0.415465,-0.340713
0.614642,1.764143,0.784294,0.439593,-0.33488
0.796853,1.918333,0.630731,0.5,-0.247243
1.093038,2.104416,0.511038,0.5,-0.080604
1.445878,2.292806,0.48016,0.5,-0.007848
2.51316,2.841348,0.471581,0.5,-0.000595
2.869563,3.022943,0.470649,0.5,-0.002708
0.128126,0.966459,1.481366,0.456179,-0.017499
0.145517,1.147168,1.463953,0.447653,-0.086976
0.174706,1.364452,1.403049,0.421614,-0.174052
0.208151,1.525195,1.323026,0.390826,-0.243136
0.218195,1.562964,1.298713,0.382407,-0.260119
0.279358,1.735415,1.1522,0.345295,-0.340259
0.325806,1.826724,1.045929,0.33873,-0.380033
0.38241,1.91254,0.928908,0.358332,-0.406099
0.404441,1.940798,0.888298,0.372555,-0.410048
0.551467,2.086794,0.686299,0.484936,-0.373735
0.629908,2.146322,0.613623,0.5,-0.328262
0.800009,2.251309,0.499683,0.5,-0.209717
0.888729,2.297434,0.46067,0.5,-0.152809
0.978943,2.340571,0.432652,0.5,-0.104392
1.161947,2.421232,0.402083,0.5,-0.038228
1.300269,2.479258,0.393594,0.5,-0.01218
1.392664,2.517508,0.39169,0.5,-0.002824
1.577525,2.593838,0.391996,0.5,0.004355
1.762285,2.670413,0.393847,0.5,0.004323
2.17758,2.843704,0.396211,0.5,0.000801
2.315953,2.901607,0.396379,0.5,0.000116
2.638829,3.036703,0.39599,0.5,-0.001664
0.085028,1.751889,1.422072,0.439596,-0.267131
0.119467,1.91789,1.303857,0.397584,-0.342202
0.185319,2.094999,1.115311,0.356096,-0.425555
0.219209,2.157288,1.028842,0.353418,-0.451046
0.332085,2.302821,0.796151,0.414039,-0.470828
0.430399,2.389841,0.657646,0.48484,-0.433259
0.553354,2.472918,0.534948,0.499999,-0.352441
0.596809,2.497644,0.499704,0.499999,-0.319408
0.823899,2.601792,0.373577,0.499999,-0.157847
0.964689,2.653514,0.333899,0.5,-0.086684
1.011998,2.669695,0.325231,0.5,-0.068552
1.202214,2.731476,0.306134,0.5,-0.020533
1.393094,2.79118,0.301532,0.5,-0.000783
1.58406,2.850611,0.302278,0.5,0.00438
1.727229,2.895361,0.303621,0.5,0.004267
1.918033,2.955307,0.305105,0.5,0.002672
2.204122,3.045602,0.306119,0.5,0.000482
2.299472,3.075742,0.306186,0.5,-0.000101
2.776291,3.226217,0.304625,0.5,-0.003558
2.871698,3.256176,0.303883,0.5,-0.004066
3.396653,3.420251,0.306164,0.5,0.026618
0.020045,1.353164,1.699041,0.499968,-0.042106
-0.003238,1.551784,1.671436,0.499965,-0.114505
-0.018111,1.751188,1.614309,0.499971,-0.19105
-0.020089,1.901074,1.550975,0.497652,-0.251891
-0.005653,2.097024,1.437588,0.476054,-0.336715
0.031604,2.277743,1.29007,0.435621,-0.421452
0.110506,2.469744,1.0602,0.394639,-0.510611
0.130662,2.503667,1.009139,0.393346,-0.523196
0.229987,2.629329,0.795369,0.428535,-0.540037
0.260797,2.659107,0.741365,0.447158,-0.532925
0.413608,2.771713,0.538187,0.5,-0.447381
0.593089,2.85948,0.380476,0.499999,-0.300948
0.782434,2.923634,0.281746,0.499999,-0.164063
0.97602,2.973796,0.231497,0.499999,-0.0716
1.171206,3.017396,0.211388,0.499999,-0.022366
1.269023,3.038176,0.207636,0.499999,-0.009478
1.366892,3.058709,0.206178,0.499999,-0.00182
1.562656,3.099654,0.206608,0.499999,0.003949
1.758368,3.140843,0.208267,0.499999,0.003856
1.954017,3.182334,0.209581,0.499999,0.002258
2.149624,3.224018,0.210238,0.499999,0.000664
2.296319,3.255332,0.210329,0.499999,-0.000416
2.491918,3.29706,0.209947,0.499999,-0.001868
3.030014,3.410864,0.206786,0.499999,-0.000498
3.078949,3.421128,0.206736,0.499999,0.001511
0.045493,0.124161,1.07139,0.379175,0.554426
-0.084125,2.296396,1.545107,0.499981,-0.325778
-0.065154,2.49531,1.4002,0.499467,-0.424367
-0.014405,2.686496,1.215459,0.483339,-0.522508
0.045789,2.816025,1.052229,0.464114,-0.583011
0.069954,2.855642,0.993928,0.459897,-0.597883
0.223448,3.027344,0.688801,0.481386,-0.600647
0.261507,3.056807,0.628736,0.492031,-0.582208
0.434353,3.155056,0.413528,0.499999,-0.447728
0.623282,3.220072,0.260025,0.499999,-0.278885
0.81879,3.261903,0.170434,0.499999,-0.142908
1.016643,3.291021,0.127456,0.499999,-0.058713
1.165567,3.308942,0.113751,0.499999,-0.024115
1.364355,3.330923,0.107997,0.499999,-0.002644
1.563193,3.352453,0.108184,0.499999,0.003641
1.762006,3.374201,0.109763,0.499999,0.003787
1.960787,3.396248,0.111059,0.499999,0.002203
2.109858,3.412916,0.111587,0.499999,0.00089
2.308612,3.435208,0.111693,0.499999,-0.000754
2.50737,3.457457,0.111157,0.499999,-0.002275
2.706147,3.479541,0.110073,0.499999,-0.003181
3.698449,3.601762,0.18539,0.499999,0.186364
-0.062081,2.865447,1.40218,0.499993,-0.480578
-0.008779,3.057824,1.190938,0.499989,-0.60473
0.033879,3.148196,1.067251,0.499985,-0.656496
0.059425,3.191166,1.001602,0.499998,-0.676829
0.087776,3.232338,0.933919,0.499812,-0.692074
0.22722,3.374355,0.654654,0.49921,-0.681281
0.310347,3.429665,0.52082,0.499999,-0.624555
0.446486,3.492184,0.345763,0.499999,-0.493191
0.639755,3.542708,0.177813,0.499999,-0.301664
0.788331,3.563048,0.099742,0.499999,-0.184545
0.987841,3.576651,0.043383,0.499999,-0.080216
1.187745,3.582692,0.020732,0.499999,-0.02584
1.387716,3.586058,0.014526,0.499999,-0.003048
1.537701,3.5882,0.014347,0.499999,0.002886
1.737678,3.591208,0.015836,0.499999,0.004132
1.93765,3.59453,0.017305,0.499999,0.002673
2.137618,3.598081,0.018086,0.499999,0.000749
2.337585,3.601712,0.018109,0.499999,-0.001053
2.487561,3.604399,0.017671,0.499999,-0.002209
2.687531,3.607835,0.016637,0.499999,-0.002874
2.887505,3.611058,0.015705,0.499999,-0.000359
3.087479,3.614252,0.016819,0.499999,0.010596
3.237452,3.61708,0.021647,0.499999,0.029883
3.437362,3.622968,0.040147,0.499999,0.080743
0.031275,3.250462,1.317476,0.499998,-0.594166
0.105183,3.435682,1.054425,0.499997,-0.750911
0.131478,3.478195,0.979334,0.499997,-0.776686
0.267084,3.624056,0.662742,0.499999,-0.777947
0.440731,3.72186,0.372753,0.499999,-0.610639
0.633628,3.773265,0.162239,0.499999,-0.386882
0.782683,3.789495,0.061341,0.499999,-0.24296
0.9326,3.793713,-8.7e-05,0.499999,-0.137098
0.982598,3.793366,-0.013797,0.499999,-0.110308
1.182487,3.786946,-0.045552,0.499999,-0.038525
1.23243,3.784573,-0.049404,0.499999,-0.0277
1.38222,3.776646,-0.055299,0.499999,-0.006942
1.581906,3.765439,-0.056095,0.499999,0.003363
1.731674,3.757113,-0.05488,0.499999,0.0047
1.931383,3.746324,-0.053139,0.499999,0.003383
2.131106,3.735818,-0.052108,0.499999,0.001211
2.330836,3.72543,-0.051941,0.499999,-0.000843
2.530563,3.714998,-0.052538,0.499999,-0.002415
2.680353,3.707064,-0.05332,0.499999,-0.002722
2.880064,3.696309,-0.05415,0.499999,0.000146
3.079774,3.685564,-0.052727,0.499999,0.011942
3.279531,3.675709,-0.044162,0.499999,0.042388
