x,y,theta,v,omega
2.373122,2.589106,-0.839638,0.5,0.063005
2.406626,2.551991,-0.833337,0.476264,-0.216747
2.438266,2.516395,-0.855012,0.5,-0.061224
2.47096,2.478565,-0.861134,0.488756,-0.150488
2.502527,2.441251,-0.876183,0.5,-0.277533
2.533994,2.402397,-0.903936,0.495928,-0.529996
2.563621,2.362634,-0.956936,0.5,-0.319127
2.591766,2.32131,-0.988849,0.5,-0.471502
2.618254,2.278908,-1.035999,0.5,-0.449722
2.642761,2.235331,-1.080971,0.5,-0.498238
2.665176,2.190642,-1.130795,0.462561,-0.343825
2.684155,2.148462,-1.165177,0.454095,-0.448929
2.701131,2.106349,-1.21007,0.490768,-0.463108
3.544855,0.518144,2.796254,0.31253,-2.0
3.486028,0.554135,2.418858,0.391924,-1.799915
3.410027,0.660306,2.045737,0.468047,-0.907217
3.031331,1.56496,2.085685,0.5,-0.014988
2.256207,2.608591,2.991072,0.464799,-0.521344
2.210455,2.616755,2.938937,0.5,-0.30083
2.161637,2.627554,2.908854,0.483428,-0.201512
2.114713,2.639177,2.888703,0.5,-0.053499
2.066337,2.651817,2.883353,0.495527,0.509014
2.018126,2.663247,2.934255,0.465817,0.766246
1.97222,2.671081,3.010879,0.438277,1.028749
1.928549,2.67455,3.113754,0.478778,0.620916
1.880679,2.674397,3.175846,0.438241,0.733884
1.836975,2.671291,3.249234,0.46246,0.87258
1.791271,2.664324,3.336492,0.438569,0.905974
1.70147,2.637507,3.524186,0.482298,0.93409
1.657633,2.61744,3.617595,0.487799,0.70419
1.504158,2.507573,3.91678,0.465156,0.455786
1.44203,2.439832,4.040702,0.5,0.85739
1.41263,2.399408,4.126441,0.495033,0.505197
1.386308,2.357489,4.17696,0.5,0.469329
1.361816,2.313904,4.223893,0.449138,0.654995
1.342052,2.273581,4.289393,0.44638,0.647892
1.308984,2.185609,4.4076,0.482046,0.808036
1.295019,1.850137,4.911252,0.438706,0.63235
1.352843,1.671169,5.124559,0.5,0.389915
2.651557,2.263045,2.10512,0.480218,0.110204
2.601498,2.345644,2.12509,0.5,0.010949
2.575157,2.388143,2.126185,0.493416,0.013989
2.549112,2.430051,2.127584,0.487278,0.065619
2.47036,2.553531,2.162184,0.460619,0.100964
2.832825,2.328734,3.326613,0.391272,-1.834358
2.793923,2.325093,3.143177,0.429617,-1.686626
2.751159,2.32864,2.974514,0.418657,-1.442432
2.383759,2.540889,2.535582,0.480202,0.236001
2.343971,2.567773,2.559182,0.496167,0.214329
2.217092,2.642211,2.688317,0.5,0.582853
2.124807,2.680568,2.809202,0.491091,0.686264
2.077873,2.694987,2.877828,0.481502,0.840121
2.030915,2.705575,2.96184,0.465126,0.856682
1.984852,2.711921,3.047508,0.480023,1.055154
1.936913,2.713904,3.153024,0.456685,0.636469
1.891295,2.711929,3.216671,0.464212,0.820417
1.845199,2.706553,3.298712,0.482446,0.737283
1.74966,2.68404,3.445825,0.488323,0.470981
1.658203,2.650702,3.53316,0.490407,0.199426
1.304831,2.473213,3.639246,0.5,-0.041225
1.260846,2.449436,3.635123,0.489646,-0.095175
1.217615,2.426445,3.625606,0.47535,-0.180936
1.274488,2.688411,0.704825,0.463838,-0.927172
2.65393,3.267076,0.417269,0.499259,-0.099203
1.650894,3.360235,-3.007779,0.5,-0.085906
1.601313,3.353777,-3.01637,0.5,-0.12776
1.81922,3.285691,-2.414673,0.488258,-0.109022
1.744565,3.220941,-2.442361,0.483506,-0.057506
1.317389,0.374768,1.762713,0.498284,-0.570823
1.30327,0.473562,1.677154,0.485437,-0.130107
1.292587,0.62082,1.601988,0.47172,-0.155693
1.211302,2.334013,1.646849,0.488091,-0.18049
1.348205,2.272174,-1.816279,0.494445,0.022719
1.325346,2.17611,-1.773295,0.5,0.297535
1.307951,2.079568,-1.735123,0.464539,0.328354
1.301106,2.033624,-1.702287,0.493274,0.556793
1.4074,1.592211,-1.018354,0.484097,0.308759
0.39863,2.21416,-0.012579,0.436858,1.184609
0.485524,2.223413,0.224584,0.447273,0.79629
1.30543,2.66312,0.458777,0.485522,-0.057375
1.349023,2.684496,0.45304,0.493765,-0.055824
3.796963,1.25412,-3.969418,0.34897,2.0
2.018825,0.229931,1.767922,0.208951,2.0
1.349985,0.382228,3.083455,0.5,-0.215634
0.717581,2.603163,-0.446245,0.454748,1.394728
1.720685,2.678396,0.055606,0.5,0.232588
2.155689,2.680092,-0.225453,0.4686,-0.909993
2.289037,2.631667,-0.449694,0.492189,-0.530419
2.613843,2.405372,-0.712738,0.5,-0.035306
2.13266,3.163652,-3.003106,0.492775,-0.245645
1.738361,3.143659,-3.160623,0.489452,-0.069706
1.633661,0.701548,0.265225,0.480928,-0.432548
2.85213,0.882425,0.152012,0.477661,0.041693
3.48441,0.975617,0.150329,0.487452,0.141386
0.670906,0.443906,0.193268,0.5,-0.29209
0.720108,0.452792,0.164059,0.486166,-0.307332
1.155626,0.510836,0.146256,0.494388,0.134096
1.250956,0.526061,0.168458,0.5,0.259388
1.917674,0.676858,0.229098,0.460277,-0.120964
2.831095,0.881208,0.210648,0.5,0.095524
1.128609,1.852563,1.107422,0.5,-0.166479
1.756702,3.083074,1.093786,0.495446,0.111089
2.919601,1.897808,2.404357,0.49819,-0.437757
2.474091,2.474788,2.273881,0.483528,0.251166
2.225619,2.687747,2.682303,0.453623,0.734931
1.846909,2.759586,3.129498,0.5,0.065125
2.620866,1.342511,1.464321,0.5,-0.063187
2.661743,1.686591,1.428507,0.5,-0.005119
2.675362,1.785154,1.449548,0.485432,0.092552
2.681011,1.833368,1.458803,0.490777,0.156538
2.686114,1.882179,1.474457,0.475118,0.059296
2.690544,1.929484,1.480386,0.452513,0.60534
2.693344,2.02464,1.597431,0.485902,0.519433
2.690789,2.073157,1.649375,0.484896,0.267843
2.686336,2.12144,1.676159,0.5,0.394863
2.651107,2.312879,1.814594,0.5,0.489707
2.479742,2.80786,1.914294,0.489222,-0.094317
1.723816,2.810816,-0.031054,0.5,-0.08443
3.245236,3.474713,-2.987149,0.483965,-0.661318
2.608967,3.419673,-2.971462,0.5,0.17104
1.653644,3.203415,-2.909819,0.5,-0.016744
2.685075,2.514632,-1.494365,0.490367,-0.129543
2.688502,2.465716,-1.507319,0.5,-0.108001
2.646668,1.736702,-1.922691,0.472496,-0.786447
2.628656,1.693034,-2.001336,0.456173,-0.926878
2.607725,1.65252,-2.094023,0.461582,-0.881589
2.582929,1.613605,-2.182182,0.5,-0.31159
2.553596,1.573116,-2.213341,0.484274,-0.61784
2.523397,1.535267,-2.275125,0.498443,-0.306829
2.490545,1.497785,-2.305808,0.485661,-0.508689
2.422074,1.430058,-2.428426,0.446476,-0.729526
2.387273,1.402105,-2.501379,0.461985,-0.803564
2.349154,1.376025,-2.581735,0.451426,-0.59835
2.310209,1.35321,-2.64157,0.5,-0.855762
2.265359,1.331143,-2.727146,0.467369,-0.865071
2.221819,1.314196,-2.813653,0.482135,-0.722151
2.085587,1.284288,-3.038209,0.484435,-0.837447
2.037249,1.281311,-3.121954,0.465949,-0.613585
1.990664,1.281825,-3.183313,0.484849,-0.484878
1.745675,1.314217,-3.315315,0.499455,-0.106273
1.36368,2.619545,3.027857,0.5,-0.659376
3.269897,2.648662,-1.375134,0.491023,0.029632
1.467993,0.432865,0.83316,0.5,-0.061827
1.906677,0.899568,0.814626,0.498213,0.030318
2.540375,1.584936,0.873848,0.494042,0.339469
2.714109,1.877039,1.207886,0.5,0.543512
1.873827,0.260086,1.637458,0.361719,-1.753973
2.686906,3.790679,-2.224312,0.429088,1.024116
2.662607,3.755336,-2.1219,0.457049,1.124886
2.640912,3.715135,-2.009412,0.432611,1.067622
2.592615,3.487291,-1.646683,0.5,0.118749
2.527444,2.748638,-1.722065,0.5,0.034918
3.27682,2.311799,2.088019,0.5,-0.06744
3.064626,2.812806,1.842837,0.495631,-0.195725
3.003935,3.052955,1.821097,0.5,0.246408
2.948547,3.245117,1.869561,0.5,0.149247
2.725306,2.39445,2.627995,0.486525,-0.134809
1.017514,2.909262,2.951841,0.5,-0.021733
0.326626,1.324367,-1.626582,0.478861,0.040503
0.316346,1.1276,-1.618488,0.486835,-0.095862
2.383221,2.526709,-0.696703,0.495323,0.019976
3.138051,1.505527,-0.995967,0.494169,0.13742
3.165202,1.464238,-0.982225,0.483552,0.050678
0.244049,0.789572,2.275311,0.117272,-2.0
0.224575,0.842881,1.675311,0.307943,-2.0
0.231128,0.909339,1.295861,0.397276,-1.729764
0.245158,0.946453,1.122885,0.430433,-1.430776
0.470267,1.187815,0.702742,0.5,-0.097322
1.168001,2.024713,0.950057,0.47977,-0.074247
1.284307,2.183348,0.941414,0.492323,-0.035761
1.403526,2.342661,0.929395,0.5,-0.14903
