x,y,theta,v,omega
1.603326,3.428404,0.505795,0.115681,-2.0
1.613936,3.432963,0.305795,0.213609,-2.0
1.634812,3.437321,0.105795,0.241621,-2.0
1.658933,3.437461,-0.094205,0.263683,-2.0
1.684763,3.43238,-0.294205,0.343604,-1.940638
1.716477,3.419298,-0.488269,0.405159,-1.532076
1.750666,3.397631,-0.641476,0.454502,-1.306646
1.785203,3.368136,-0.772141,0.493772,-0.863544
1.819047,3.332203,-0.858495,0.496075,-0.607139
1.85031,3.293697,-0.919209,0.5,-0.461628
1.879705,3.253255,-0.965372,0.495657,-0.525648
1.906829,3.211776,-1.017937,0.495979,-0.258662
1.932325,3.169235,-1.043803,0.47151,-0.003713
1.956032,3.128477,-1.044174,0.488461,-0.038142
1.980502,3.086202,-1.047988,0.478002,0.195554
2.004773,3.045023,-1.028433,0.5,0.342135
2.031308,3.002649,-0.994219,0.498052,0.308545
2.0591,2.961321,-0.963365,0.5,0.308338
2.088266,2.920711,-0.932531,0.451548,0.292189
2.115695,2.884844,-0.903312,0.5,0.176029
2.14699,2.84585,-0.885709,0.5,0.157617
2.178931,2.807382,-0.869948,0.5,0.066699
2.211301,2.769275,-0.863278,0.461536,0.092942
2.241461,2.73434,-0.853984,0.483574,0.201772
2.273597,2.698206,-0.833806,0.49412,0.059387
2.306914,2.661715,-0.827868,0.482948,-0.012347
2.339561,2.626126,-0.829102,0.499695,-0.105352
2.373122,2.589106,-0.839638,0.5,0.063005
2.406626,2.551991,-0.833337,0.476264,-0.216747
2.438266,2.516395,-0.855012,0.5,-0.061224
2.47096,2.478565,-0.861134,0.488756,-0.150488
2.502527,2.441251,-0.876183,0.5,-0.277533
2.533994,2.402397,-0.903936,0.495928,-0.529996
2.563621,2.362634,-0.956936,0.5,-0.319127
2.591766,2.32131,-0.988849,0.5,-0.471502
2.618254,2.278908,-1.035999,0.5,-0.449722
2.642761,2.235331,-1.080971,0.5,-0.498238
2.665176,2.190642,-1.130795,0.462561,-0.343825
2.684155,2.148462,-1.165177,0.454095,-0.448929
2.701131,2.106349,-1.21007,0.490768,-0.463108
2.717383,2.060046,-1.256381,0.5,-0.294901
2.732143,2.012276,-1.285871,0.48936,-0.166197
2.745508,1.965201,-1.302491,0.489124,-0.044461
2.758369,1.91801,-1.306937,0.5,-0.25438
2.770794,1.869579,-1.332375,0.460649,-0.238648
2.781138,1.824692,-1.35624,0.5,-0.067464
2.791619,1.775803,-1.362986,0.494318,0.142277
2.802162,1.727509,-1.348758,0.474296,-0.094401
2.812388,1.681195,-1.358199,0.490545,0.067034
2.822899,1.63328,-1.351495,0.486723,-0.048626
2.833372,1.585748,-1.356358,0.467815,0.11831
2.843597,1.540098,-1.344527,0.5,-0.013481
2.854782,1.491365,-1.345875,0.5,-0.075465
2.865749,1.442583,-1.353421,0.490255,0.225646
2.876861,1.394834,-1.330857,0.5,0.280844
2.639763,1.497928,0.030417,0.5,0.858868
2.689613,1.501592,0.116303,0.473523,0.593609
2.736455,1.508479,0.175664,0.476122,0.708433
2.783001,1.518453,0.246508,0.5,0.663408
2.831049,1.532253,0.312848,0.460375,0.678872
2.874338,1.547897,0.380736,0.488285,0.221086
2.919465,1.566541,0.402844,0.5,0.234557
2.965229,1.586681,0.4263,0.491668,0.178757
3.009811,1.607411,0.444176,0.5,0.177004
3.054767,1.629295,0.461876,0.472492,0.190305
3.096862,1.650751,0.480906,0.5,-0.146327
3.141359,1.673555,0.466274,0.483004,-0.221727
3.18474,1.694789,0.444101,0.5,-0.177641
